fps,frame_time,noisy_render,texture_to_tensor_noisy,inferrence_tensor_prep,inferrence,hidden_tensor_output_copy,output_tensor_to_texture,screen_render
5,210.82,22.44ms,3.86ms,0.18ms,165.32ms,12.60ms,3.22ms,3.02ms
7,136.16,10.78ms,3.41ms,0.08ms,131.27ms,13.07ms,3.23ms,2.97ms
7,135.95,7.95ms,3.24ms,0.05ms,123.07ms,13.37ms,3.13ms,2.96ms
7,135.96,6.72ms,3.22ms,0.04ms,119.62ms,13.31ms,3.11ms,2.83ms
7,133.39,5.93ms,3.22ms,0.04ms,117.28ms,12.97ms,3.18ms,2.90ms
7,135.86,5.51ms,3.29ms,0.03ms,115.99ms,12.99ms,3.16ms,2.82ms
7,135.35,5.18ms,3.29ms,0.03ms,115.08ms,12.97ms,3.14ms,2.81ms
7,135.74,3.36ms,3.22ms,0.01ms,109.70ms,13.01ms,3.16ms,2.80ms
7,134.76,3.36ms,3.20ms,0.02ms,109.91ms,13.07ms,3.16ms,2.77ms
7,133.69,3.33ms,3.21ms,0.02ms,109.64ms,12.90ms,3.18ms,2.75ms
7,136.45,3.31ms,3.22ms,0.01ms,109.59ms,12.90ms,3.22ms,2.73ms
7,135.94,3.28ms,3.21ms,0.01ms,109.73ms,13.12ms,3.21ms,2.66ms
7,134.72,3.33ms,3.19ms,0.01ms,109.82ms,13.02ms,3.19ms,2.72ms
7,135.70,3.29ms,3.15ms,0.01ms,109.88ms,13.12ms,3.22ms,2.72ms
7,135.34,3.27ms,3.16ms,0.01ms,109.82ms,13.01ms,3.24ms,2.67ms
7,134.90,3.23ms,3.12ms,0.01ms,109.94ms,13.09ms,3.26ms,2.58ms
8,132.09,3.20ms,3.13ms,0.01ms,109.91ms,13.00ms,3.22ms,2.55ms
7,134.36,3.25ms,3.11ms,0.02ms,109.91ms,12.85ms,3.19ms,2.58ms
8,132.55,3.24ms,3.09ms,0.02ms,109.72ms,12.52ms,3.20ms,2.58ms
7,133.39,3.23ms,3.08ms,0.02ms,109.56ms,12.47ms,3.16ms,2.60ms
8,133.20,3.24ms,3.06ms,0.02ms,109.61ms,12.36ms,3.17ms,2.58ms
7,135.81,3.20ms,3.03ms,0.02ms,109.52ms,12.28ms,3.20ms,2.56ms
7,135.66,3.24ms,3.00ms,0.02ms,109.58ms,12.38ms,3.13ms,2.57ms
7,134.87,3.18ms,3.04ms,0.02ms,109.51ms,12.48ms,3.16ms,2.62ms
7,134.87,3.24ms,3.05ms,0.02ms,109.58ms,12.51ms,3.17ms,2.64ms
8,133.27,3.23ms,3.06ms,0.02ms,109.69ms,12.37ms,3.21ms,2.70ms
7,137.03,3.27ms,3.22ms,0.01ms,109.71ms,12.62ms,3.24ms,2.66ms
8,126.69,3.28ms,3.27ms,0.01ms,109.56ms,11.95ms,3.27ms,2.69ms
8,126.84,3.33ms,3.30ms,0.01ms,109.16ms,11.20ms,3.27ms,2.69ms
8,125.31,3.37ms,3.34ms,0.02ms,108.51ms,10.42ms,3.29ms,2.62ms
8,126.51,3.34ms,3.38ms,0.01ms,108.10ms,9.58ms,3.32ms,2.63ms
8,126.72,3.33ms,3.38ms,0.01ms,107.72ms,8.91ms,3.28ms,2.62ms
8,128.39,3.34ms,3.41ms,0.01ms,107.37ms,8.36ms,3.29ms,2.70ms
8,126.06,3.31ms,3.45ms,0.01ms,106.92ms,7.69ms,3.29ms,2.75ms
8,125.55,3.27ms,3.30ms,0.01ms,106.68ms,7.30ms,3.23ms,2.69ms
8,128.49,3.29ms,3.31ms,0.01ms,106.80ms,7.42ms,3.25ms,2.75ms
8,127.27,3.24ms,3.31ms,0.01ms,106.86ms,7.48ms,3.25ms,2.67ms
8,127.06,3.26ms,3.29ms,0.01ms,106.96ms,7.49ms,3.28ms,2.79ms
8,126.41,3.31ms,3.23ms,0.01ms,106.91ms,7.52ms,3.28ms,2.76ms
8,129.36,3.32ms,3.24ms,0.01ms,107.16ms,7.57ms,3.28ms,2.65ms
8,126.74,3.33ms,3.22ms,0.01ms,107.26ms,7.58ms,3.23ms,2.59ms
8,126.73,3.32ms,3.17ms,0.01ms,107.46ms,7.53ms,3.23ms,2.65ms
8,129.47,3.31ms,3.10ms,0.01ms,107.64ms,7.52ms,3.24ms,2.65ms
8,128.16,3.29ms,3.11ms,0.02ms,107.83ms,7.54ms,3.25ms,2.71ms
8,127.42,3.31ms,3.17ms,0.02ms,107.76ms,7.52ms,3.25ms,2.69ms
8,127.01,3.30ms,3.20ms,0.02ms,107.75ms,7.53ms,3.26ms,2.73ms
8,128.13,3.33ms,3.24ms,0.02ms,107.52ms,7.42ms,3.35ms,2.86ms
8,126.86,3.34ms,3.23ms,0.02ms,107.28ms,7.40ms,3.36ms,2.89ms
